Author(s) ID,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,Sponsors,Conference name,Conference date,Conference location,Conference code,Language of Original Document,Document Type,Publication Stage,Open Access,Source
"57211878918;57218879582;57218548896;57218874187;57214863743;56218986700;57218879583;57211342963;57040501600;57201349100;57207462434;","Characterization of food gels prepared from the water extract of fish (Cyprinus carpio L.) scales: From molecular components to sensory attributes",2021,"Food Hydrocolloids",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090571153&doi=10.1016%2fj.foodhyd.2020.106263&partnerID=40&md5=af9e2e1028f3ac22ae8f3dcd891069f1","Food gels prepared from the water extract of fish scales (WEFS) are described in this study. The effects of WEFS, sucrose, and NaCl concentration on gel formation and stability, gel texture, and gel sensory attributes were evaluated. The results indicated that an increase in WEFS concentration led to increases in the formation rate, stability, and texture of the gel. Addition of a moderate amount of sucrose (2%–3%, w/v) and NaCl (0.4%–0.6%, w/v) improved the stability, gumminess, chewiness, and cohesiveness of the gel. However, the addition of an excessive amount of sucrose (>4%, w/v) and NaCl (>0.8%, w/v) decreased the stability, gel strength, adhesiveness, and springiness of the gel. The sensory attributes of fish scales (FS) gels were mainly affected by WEFS concentration. On the basis of combined textural analysis and sensory evaluation, the FS gels formed with 4% WEFS, 3% sucrose, or 0.4% NaCl was proposed in this study. The gel microstructure and water distribution obviously showed an apparent variation, together with a change in the structure of FS gels. Competing hydrophilic forces and electrostatic interactions varied with sucrose and NaCl concentration, altering the structure and water distribution of FS gels. © 2020 Elsevier Ltd","Fish scales gelatin; Gel formation rate; Gel microstructure; Gel stability; Water distribution",,,,,,,"English",Article,"Final","",Scopus
"35572506300;24340703100;8855450500;57220766866;6505811755;57219600552;","An explorative assessment of environmental and nutritional benefits of introducing low-carbon meals to Barcelona schools",2021,"Science of the Total Environment",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097582870&doi=10.1016%2fj.scitotenv.2020.143879&partnerID=40&md5=c1d42eade7ad4e19f23230a1139451af","Shifting to plant-based and low-carbon diets is a key measure for climate change mitigation. In this regard, national and local governments are setting goals and actions to tackle this issue. The municipality of Barcelona has set an intervention for the academic year 2020–21: introducing low-carbon meals in public schools. This study assesses the environmental and nutritional benefits of this intervention by applying the Life Cycle Assessment (LCA) methodology, with an energy and nutritional functional unit; and combined it with the Water-Energy-Food (WEF) nexus approach, by considering three WEF resources-based impacts (Blue Water Footprint (BWF), Primary Energy Demand (PED) and Land Use (LU)) and the Global Warming Potential (GWP). The transition to a low-carbon meal would reduce between 46 and 60% the environmental impacts. These benefits could even be higher when extra interventions within the school boundaries are applied. More research in behavioural change is needed in order to evaluate both: the acceptance of the new menus by scholars and the adaptation of the school kitchen staff to the new menu. Finally, it is suggested to monitor the environmental and nutritional changes of the introduction of low-carbon meals within the school menus in an integrated way. © 2020 Elsevier B.V.","Life cycle assessment; Public meals; School canteens; Sustainability; WEF nexus","Behavioral research; Carbon; Global warming; Hydroelectric power plants; Land use; Life cycle; Nutrition; Behavioural changes; Climate change mitigation; Global warming potential; Life Cycle Assessment (LCA); Local government; Nutritional benefits; Nutritional changes; Primary energy demand; Environmental impact; assessment method; carbon; climate change; environmental conditions; life cycle analysis; local government; nutrition; sustainability; Barcelona [Barcelona (PRV)]; Barcelona [Catalonia]; Catalonia; Spain; Varanidae",,,,,,"English",Article,"Final","",Scopus
"55821968500;57220103721;57220102880;","Chemical oxygen demand with APHA/AWWA/WEF 5220 D procedure for high concentration adapted to micro-volume [La Demanda Química de Oxígeno con el procedimiento APHA/AWWA/WEF 5220 D para rango alto adaptado a micro-escala]",2021,"Tecnologia y Ciencias del Agua",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096933779&doi=10.24850%2fJ-TYCA-2021-01-04&partnerID=40&md5=fb69dc74d5a4caa0ac9efd7497426898","In this study, linearity and precision tests were performed for the determination of the Chemical Oxygen Demand (COD) in water, for a micro-volume adaptation of the closed reflux method for small volume for high range of APHA / AWWA / WEF. The main objective of the work was to demonstrate that it is possible to obtain adequate measurements by adapting the APHA / AWWA / WEF method 5220 D, a widely used international reference for determining COD in water, on a micro-volume adaptation. The micro-volume adapted method required only changes in the concentration of each substance in the digestion solution, but not in the silver sulfate catalyst solution, so that the concentration of each of these substances in the tubes digestion was almost equal to that corresponding to the original method (except for mercury sulfate, which was deliberately reduced). In the micro-volume adaptation presented here, the dosed volumes of all liquid reagents were measured using class A volumetric pipettes, improving the precision of measurements with respect to the use of both graduated and plunger pipettes (necessary to carry out the original method). The results obtained for the micro-volume adaptation demonstrated excellent linear fitting and precision of the system. © 2021 Instituto Mexicano de Tecnologia del Agua. All rights reserved.","COD; Linearity; Micro-volume; Precision; Standard Methods; Water","adaptation; adaptive management; catalyst; chemical oxygen demand; digestion; mercury (element); precision; silver; sulfate",,,,,,"Spanish",Article,"Final","All Open Access, Gold",Scopus
"36967886200;57220805349;57205607149;","Water-energy-food security nexus based selection of energy recovery from wastewater treatment technologies: An extended decision making framework under intuitionistic fuzzy environment",2021,"Sustainable Energy Technologies and Assessments",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097648024&doi=10.1016%2fj.seta.2020.100937&partnerID=40&md5=e578d296e59b131fff88011d647298ab","According to the increasing demand of human society to the electrical energy, the choice of a comprehensive decision making for energy recovery from wastewater treatment technologies selection is very important. Water-energy-food (WEF) security nexus which is one of the most notable concepts in recent years that have emerged in research across many disciplines, can be used as a decision making tool to evaluate actions in different energy sectors. Behbahan city in the southwest of Iran has been chosen for the experiment. An extended methodology based on two multi-criteria decision making (MCDM) methods called entropy and linear assignment under intuitionistic fuzzy environment has been chosen to support the synthetic decision to prioritize energy recovery from wastewater treatment technologies. Thirteen criteria including water security principles (Access, Safety, and Affordability), energy security principles (Availability, Accessibility, Affordability, Acceptability, Applicability, and Adaptability) and food security principles (Availability, Access, Utilization, and Stability) have been considered. In terms of the warm and dry weather in Behbahan city, choosing the up-flow anaerobic sludge blanket reactor (UASB) option as the most appropriate option seems rational. The anaerobic baffled reactor (ABR), micro-algae cultivation (MAC), and microbial fuel cells (MFC) options were selected as the second, third, and fourth options, respectively. © 2020 Elsevier Ltd","Decision making; Energy recovery; Intuitionistic fuzzy environment; Wastewater treatment; Water-energy-food security nexus","Decision making; Energy security; Food supply; Fuzzy sets; Microbial fuel cells; Reclamation; Stability criteria; Anaerobic baffled reactor; Decision making tool; Decision-making frameworks; Intuitionistic fuzzy; Multi-criteria decision making; Security principles; Up-flow anaerobic sludge blanket reactors; Wastewater treatment technologies; Wastewater treatment; decision making; food security; fuzzy mathematics; microalga; multicriteria analysis; wastewater treatment",,,,,,"English",Article,"Final","",Scopus
"57203456322;55857198100;8366748600;15755240700;","Quantitative simulation of the water-energy-food (WEF) security nexus in a local planning context in indonesia",2021,"Sustainable Production and Consumption",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090193751&doi=10.1016%2fj.spc.2020.08.009&partnerID=40&md5=0a790e04c497d361b73d32757423f00a","The process of planning and evaluation for local development, especially in the critical sectors of water, energy and food (WEF) should be conducted using a holistic, integrated approach in an attempt to bring the improvement in water, energy and food security in a region. System dynamics models are one of the tools for simulation and assessment of the system-wide impacts caused by local interventions. This research develops a stock-flow diagram (SFD) of WEF security in a local context to be used in analysing the impacts of implementing three planned policy interventions in Karawang Regency, Indonesia. STELLA Professional software is employed to build the SFD and conduct simulation of the WEF security nexus, and is based on a previously developed qualitative causal loop model of the same system (the Karawang WEF security (K-WEFS) model). In the quantitative SFD, four scenarios are developed and assessed in this study; (i) population growth changes; (ii) agricultural land conversion rate changes; (iii) changes in the development of artificial ponds and solar energy; and (iv) per-capita resource consumption changes. The results show several interesting findings related to the WEF security nexus, available resources per person (APP) and self-sufficiency levels (SSL) of resources in business as usual conditions and under planned interventions. Potentially unanticipated detrimental indirect impacts of policy interventions are highlighted. This dynamic support tool could be applied in other local regions to improve the evaluation and planning process of water, energy and food sectors in a holistic manner. © 2020 Institution of Chemical Engineers","Evaluation and planning; Indonesia; Karawang; Nexus modelling; Policy analysis; System dynamics; Water-Energy-Food (WEF) security",,,,,,,"English",Article,"Final","",Scopus
"57219286941;6602558230;16068916900;56211351200;","Trade-offs and synergies in the water-energy-food nexus: The case of Saskatchewan, Canada",2021,"Resources, Conservation and Recycling",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092051583&doi=10.1016%2fj.resconrec.2020.105192&partnerID=40&md5=b64ec921df1e0647c88ce05c2b78165d","Socioeconomic and climatic changes and limited water resources pose various challenges to water, energy, and food sectors across the globe. The inevitable interactions between water, energy, and food systems bring about trade-offs but also synergies under different decisions and policies. To gain insights into these issues, we developed a water-energy-food (WEF) nexus model that incorporates both production (supply) and demands sides of WEF systems into a single system-of-systems model using the system dynamics (SD) approach. The model is applied to Saskatchewan, Canada, and so is named WEF-Sask. The model results reveal the various levels of sensitivities of water, energy, and food (and feed) sectors to the socioeconomic and climatic drivers. The analysis of trade-offs and synergies shows that the proposed large irrigation expansion (400%) boosts food production by 1.6% while reducing hydropower production by 2.7% in Saskatchewan. Wind expansion strategy (from 5% to 30% of total capacity) makes synergies that not only contribute to electricity supply but also reduce greenhouse gas emissions, industrial water demand, and groundwater use by 2.0, 5.7, and 3.8%, respectively. Biofuel use (blending mandate: 10% ethanol and 5% biodiesel) in transportation cuts GHG emissions by 1.2% but reduces the potential food export (food surplus) by 5.0%. The WEF-Sask model allows for scenario analysis toward integrated resources management, and its generic model structure can be expanded to other regions. © 2020 Elsevier B.V.","Climatic impacts; Socioeconomic impacts; Synergies; System dynamics modeling; Trade-offs; Water-energy-food nexus","Biodiesel; Blending; Commerce; Expansion; Gas emissions; Greenhouse gases; Groundwater; Industrial emissions; System of systems; Water resources; Electricity supply; Expansion strategies; Hydro power production; Industrial water; Integrated resources; Irrigation expansions; Saskatchewan , Canada; Scenario analysis; Economic and social effects; biofuel; ground water; demand analysis; energy resource; food supplementation; irrigation; model test; socioeconomic conditions; strategic approach; synergism; trade-off; water demand; water planning; water supply; Article; Canada; carbon footprint; energy resource; energy yield; environmental decision making; environmental impact assessment; environmental policy; food industry; hydropower; irrigation (agriculture); resource management; socioeconomics; water supply; Canada; Saskatchewan",,,,,,"English",Article,"Final","",Scopus
"57219202625;57195374166;46660996100;7003879954;57219202804;","Sustainable resource optimization under water-energy-food-carbon nexus",2021,"Journal of Cleaner Production",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091668191&doi=10.1016%2fj.jclepro.2020.123894&partnerID=40&md5=4dc694cc4078cbbf950eec00d881aaf4","Pressures from growing demands and shrinking supplies have reached a critical junction in major global resources, particularly water, energy, and food (WEF). Recognizing the complex interaction across those highly interconnected resources, the nexus concept evolved to boost efficiencies across all nexus pillars. Several modeling efforts tried to capture the complexity of this problem, but most attempts captured only one or two nexus pillars, remained localized to fixed case-studies or applications, or used simulations to assess pre-defined scenarios rather than solving for optimum solutions under defined objective function and constraints. Here, we present an optimization model for water, energy, and food nexus resource management and allocation at a regional scale. The model was successfully validated using a hypothetical case study to test its efficiency under several resource availability scenarios and different policy targets. The results enhanced the understanding of the interlinkages among the nexus sectors by demonstrating the sensitivity of the WEF nexus to adopted strategies. For example, imposing food variety constraints changed water consumption by an order of magnitude and more than doubled energy requirements. Moreover, adopting renewable energy may cause increased demands for land, but can significantly cut CO2 emissions. The model serves as an effective decision-making tool that enables policy makers to assess multiple WEF sources and recommends the optimum resource allocation under various policy, technology, and resource constraints. © 2020 Elsevier Ltd","Carbon footprint; Energy security; Food security; Non-linear optimization model; Planetary boundary; Sustainable resource management; Water security; Water-energy-food nexus","Carbon; Decision making; Resource allocation; Decision making tool; Objective functions; Optimization modeling; Optimum resource allocation; Resource availability; Resource Constraint; Resource management; Sustainable resources; Water resources",,,,,,"English",Article,"Final","",Scopus
"24767881800;57220201076;","Competitiveness of the Travel and Tourism Industry in Latin America",2021,"Smart Innovation, Systems and Technologies",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097231215&doi=10.1007%2f978-981-33-4256-9_13&partnerID=40&md5=01c593cb0910a317c84a7b25bda2bef9","Latin America is a prosperous and competitive region based on the activity of its travel and tourism. Globally, it is ranked third in competitiveness, after of Europe and Asia-Pacific, according to the publication of the WTTR 2019. This article shows an analysis of the competitiveness of their countries, using WTTE published from 2007 to 2019 by the WEF. For the first publication of these reports, 20 countries in the region were located, located in quartiles 2, 3 and 4 of the global position. For 2019, 21 countries are positioned, highlighting Mexico and Brazil in Quartile 1 worldwide. When making a detailed analysis of the subscripts scored in this last report, an important proximity is observed between New Zealand and Costa Rica in Conditions and policies in T&T. When performing this same analysis of the pillars, Mexico ranks first globally and in the region in Natural Resources are Malta and Jamaica have the same score in T&T Prioritization. It is shown that the region and its countries have managed to position themselves competitively worldwide. © 2021, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Travel and tourism industry competitiveness index; Travel and tourism industry: Latin America; World report travel and tourism competitiveness","Competition; Leisure industry; Costa Rica; Jamaica; Latin America; Me-xico; New zealand; Prioritization; Region-based; Travel and tourism; Tourism",,"International Conference on Tourism, Technology and Systems, ICOTTS 2020","29 October 2020 through 31 October 2020",,251839,"English",Conference Paper,"Final","",Scopus
"57210713262;57193682708;57210712776;23093839600;","The conceptual basis of water-energy-food nexus governance: systematic literature review using network and discourse analysis",2020,"Journal of Integrative Environmental Sciences",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083510723&doi=10.1080%2f1943815X.2020.1749086&partnerID=40&md5=d0b293d97527704aae0543a199be2ab6","In the last decade, the debate on the governance of water, energy, and food (WEF) has intensified, spurring the emergence of the term “nexus governance.” In general, the reduction of trade-offs and construction of synergies between WEF have been placed on the scientific, political, and economic agenda. However, although increasingly used, it is difficult to find a clear meaning and definition of what the term represents. Based on a systematic literature review (SLR), using text-mining and machine learning algorithms, this article investigates what are the conceptual basis of the nexus governance debate, and attempts to clarify the main themes, networks, and gaps within this literature. The analysis is based on quantitative and qualitative methods, combining social network analysis (SNA) and discourse analysis (DA). The results highlighted that twenty-four governance-related concepts support this literature, breaking down into eight groups: water and basin governance; environmental and systems governance; risk and resource security governance; economic governance; global governance; urban governance; integrative and cooperative governance; and “epistemic” and transdisciplinary governance. © 2020 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","discourse analysis; nexus governance; social network analysis; systematic literature review; Water-energy-food nexus",,,,,,,"English",Review,"Final","All Open Access, Bronze, Gold",Scopus
"57192313599;36061995500;12753595900;26039651100;8389792000;57208134859;15822669400;","Assessment of the economic and environmental sustainability of Variable Rate Technology (VRT) application in different wheat intensive European agricultural areas. A Water energy food nexus approach",2020,"Environmental Science and Policy",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090883104&doi=10.1016%2fj.envsci.2020.08.019&partnerID=40&md5=731d27bc6b50f5ae774b580dabf51c47","In this paper we assess the sustainability of Variable Rate Technology (VRT) application for different wheat intensive agricultural areas in Europe. Within the H2020 FATIMA project we developed an analytical framework to assess the environmental and economic sustainability of nutrient management in two Case Studies in Greek and Czech Republic, implemented with different fertilization strategies in the winter wheat production, compared with the conventional one. We look at the economic and environmental dimension expressed throughout a set of specific performance indicators implemented under the Water Energy Food (WEF) nexus framework. Considering that fertilization strategies significatively affect environmental impact as well as economic performance at farm level, we investigated how Precision Agriculture (PA) tools, and particularly VRT, most suitable for increasing efficiency in fertilization distribution, can improve and maximize efficiency of inputs and profitability of individual fields by targeting application where needed and at optimum rates. The study shows how, despite a general reduction of production cost and increase in gross margin, farm sizes and the level of efficiency of the “as usual scenario” influence the economic impact of the VRT. Looking instead at the environmental perspective of the analysis, the results provide evidence of a decrease of nitrogen (N) due to lower amount of fertilizers, as well as a better distribution according to the potential productivity of the field, causing reduced impact of groundwater quality (nitrate loss by leaching). On the other side, some constraints arise from the high cost and the investments needed to adopt VRT at farm level, one of the main challenges to be solved through adequate policy instruments. © 2020 Elsevier Ltd","Energy efficiency; Fertilization strategies; Precision agriculture (PA) sustainability; Variable Rate Technology (VRT); Water energy food (WEF) nexus; Wheat","fertilizer; agricultural management; Article; Czech Republic; economic aspect; energy consumption; environmental impact; environmental policy; environmental sustainability; fertilization; Greece; hydropower; precision agriculture; priority journal; productivity; rural area; technology; variable rate technology; water quality; wheat",,,,,,"English",Article,"Final","",Scopus
